user_id	item_id	timestamp	correct	skill_id
0	12661	0	0	143
0	12685	0	1	143
0	12678	0	0	143
0	12697	0	0	143
0	12698	0	0	143
0	12693	0	0	143
0	12701	0	0	145
0	2991	0	0	142
0	3180	0	1	144
0	2975	0	0	142
0	3171	0	1	144
0	3166	0	0	145
0	12025	0	0	121
0	12235	0	1	120
0	12224	0	1	120
0	11725	0	0	121
0	12206	0	1	120
0	11705	0	0	121
0	11708	0	0	121
1	529	0	0	132
1	539	0	1	132
1	537	0	1	132
1	548	0	1	132
1	2799	0	0	131
1	2809	0	1	131
1	2763	0	0	131
1	11347	0	1	40
1	11364	0	1	40
1	11316	0	1	40
1	11343	0	1	40
1	11365	0	1	40
1	11156	0	1	40
1	11127	0	1	40
1	11097	0	1	40
1	11200	0	1	40
1	11152	0	1	40
2	1623	0	0	41
2	1628	0	0	41
2	1618	0	1	41
2	1615	0	0	41
2	10757	0	1	42
2	10997	0	1	42
2	11320	0	1	40
2	11081	0	1	40
2	5220	0	1	111
2	3536	0	1	84
2	1843	0	1	40
2	1675	0	1	77
2	1536	0	1	42
2	1504	0	0	39
2	1486	0	1	39
2	1492	0	0	39
2	3296	0	0	39
2	1490	0	1	39
2	617	0	1	82
2	624	0	1	82
2	606	0	1	82
2	3272	0	1	39
2	1637	0	1	41
2	1711	0	1	40
2	3289	0	1	39
2	3300	0	1	39
2	1617	0	1	41
2	1338	0	1	85
2	1234	0	1	88
2	1813	0	1	40
2	4621	0	0	24
2	4622	0	0	24
2	4623	0	1	24
2	1939	0	1	2
2	5769	0	0	28
2	5759	0	1	28
2	5764	0	1	28
2	5747	0	1	28
2	5735	0	1	106
2	4914	0	1	95
2	3124	0	1	128
2	233	0	1	126
2	5453	0	1	116
2	5456	0	1	116
2	2827	0	0	129
2	2841	0	1	129
2	2823	0	1	129
2	2825	0	1	129
2	2849	0	1	130
2	2856	0	1	130
2	3704	0	1	93
2	1479	0	0	75
2	1445	0	1	83
2	1454	0	1	83
2	1462	0	1	75
2	4361	0	1	88
2	4037	0	1	87
2	4896	0	1	70
2	4434	0	1	85
2	13942	0	0	22
2	13943	0	1	22
2	13944	0	1	22
2	13945	0	0	22
2	14014	0	0	22
2	13918	0	1	22
2	14026	0	1	22
