experiment_time,hid_size,num_hid_layers,drop_prob,batch_size,lr,best_val_auc,best_epoch,test_auc
2021-01-26 05:10:55.125371,50,1,0.0,50,0.001,0.7427290020973142,54,0.7348128681973441
2021-01-26 05:56:09.500688,50,1,0.25,50,0.001,0.7405005325198677,54,0.7359801064614359
2021-01-26 06:52:30.070435,50,1,0.5,50,0.001,0.7552160599197707,73,0.7451450534493165
2021-01-26 07:25:08.744468,100,1,0.0,50,0.001,0.7400141693129387,36,0.7320758811876362
2021-01-26 07:58:24.287861,100,1,0.25,50,0.001,0.7441421074780464,37,0.7380829058360054
2021-01-26 08:29:26.984297,100,1,0.5,50,0.001,0.748218013484088,34,0.7387463970621835
2021-01-26 08:49:43.321346,200,1,0.0,50,0.001,0.7404613725049893,17,0.7327943808442456
2021-01-26 09:20:04.040189,200,1,0.25,25,0.001,0.7430530544528029,1,0.7371998220390658
2021-01-26 09:51:32.115905,200,1,0.5,50,0.001,0.7454161608043268,31,0.7432768993777107
2021-01-26 10:39:40.662584,50,2,0.0,50,0.001,0.7567714377368304,55,0.7461140187131744
2021-01-26 11:30:57.154554,50,2,0.25,50,0.001,0.7642211788306077,60,0.7502633504160621
2021-01-26 12:25:10.113796,50,2,0.5,50,0.001,0.7655965474934598,66,0.7605010674664843
2021-01-26 12:58:35.200829,100,2,0.0,50,0.001,0.7587869731622846,35,0.7504009507439875
2021-01-26 13:33:43.754579,100,2,0.25,50,0.001,0.7564502513336596,37,0.7497529363385882
2021-01-26 14:08:04.352502,100,2,0.5,50,0.001,0.7656763100158793,36,0.7600909046219543
2021-01-26 14:35:56.269966,200,2,0.0,50,0.001,0.7618599614185607,25,0.7578088991118763
2021-01-26 15:03:09.097607,200,2,0.25,50,0.001,0.7712078165628196,25,0.7599209414169571
2021-01-26 15:33:00.890332,200,2,0.5,50,0.001,0.7697879359026439,28,0.7651687643781355
2021-01-26 15:47:35.973364,50,1,0.0,50,0.01,0.7557290617207109,10,0.7500127553700139
2021-01-26 16:04:23.704804,50,1,0.25,50,0.01,0.7588481929255774,13,0.7588220151854634
2021-01-26 16:22:34.398195,50,1,0.5,50,0.01,0.7669010020699916,15,0.7653396507759541
2021-01-26 16:33:46.862954,100,1,0.0,50,0.01,0.7579008475341991,5,0.7528255375635127
2021-01-26 16:47:13.120178,100,1,0.25,50,0.01,0.7596410332159759,8,0.7605211394234899
2021-01-26 17:03:45.737738,100,1,0.5,50,0.01,0.7766193184542871,12,0.7647648101244713
2021-01-26 17:15:32.211405,200,1,0.0,50,0.01,0.7566947496420683,5,0.7512447170936524
2021-01-26 17:28:05.083369,200,1,0.25,50,0.01,0.7547916713195854,6,0.7586049701467883
2021-01-26 17:42:15.404226,200,1,0.5,50,0.01,0.7669035876629321,9,0.7607827730692166
2021-01-26 17:57:18.621318,50,2,0.0,50,0.01,0.7688338328714988,10,0.7649777937854609
2021-01-26 18:12:14.915176,50,2,0.25,50,0.01,0.7703208976073824,10,0.7667604964799788
2021-01-26 18:30:59.229393,50,2,0.5,50,0.01,0.7769450284824174,15,0.7701630715067492
2021-01-26 18:45:01.925502,100,2,0.0,50,0.01,0.7686500503471573,8,0.7700600622859975
2021-01-26 18:58:13.960879,100,2,0.25,50,0.01,0.7721548641295247,7,0.7681647648392482
2021-01-26 19:12:49.839289,100,2,0.5,50,0.01,0.7781135979261138,9,0.7733953613200901
2021-01-26 19:25:58.441896,200,2,0.0,50,0.01,0.7664146969591169,6,0.7651462712095446
2021-01-26 19:37:35.025929,200,2,0.25,25,0.01,0.7754787392304784,4,0.7703737679841474
2021-01-26 19:52:22.251824,200,2,0.5,50,0.01,0.778369640517445,8,0.7711475020595654
